id,handle,nexternal_id,internal_memo,author,price,related_ids
11141922954,a-reason-for-spelling-teachers-guidebook-and-student-workbook-kit-level-a,201,Old data from V-Cart System: Web Special $31.87 Clearance $31.87 Old Promo Pages: Notes from V-Cart system: ,,39.47,"11142270922,11142234250,11141946506"
11141923082,a-reason-for-spelling-teachers-guidebook-and-student-workbook-kit-level-b,202,Old data from V-Cart System: Web Special $31.87 Clearance $31.87 Old Promo Pages: Notes from V-Cart system: ,,39.47,"11141947402,11142236938,11142415754"
11141923274,a-reason-for-spelling-teachers-guidebook-and-student-workbook-kit-level-c,203,Old data from V-Cart System: Web Special $31.87 Clearance $31.87 Old Promo Pages: Notes from V-Cart system: ,,39.47,"11142275658,11142424842,11142097674"
11141923530,a-reason-for-spelling-teachers-guidebook-and-student-workbook-kit-level-d,204,Old data from V-Cart System: Web Special $31.87 Clearance $31.87 Old Promo Pages: Notes from V-Cart system: ,,39.47,"11142129674,11142200266,11142520842"
11141923722,a-reason-for-spelling-teachers-guidebook-and-student-workbook-kit-level-e,205,Old data from V-Cart System: Web Special $31.87 Clearance $31.87 Old Promo Pages: Notes from V-Cart system: ,,39.47,"11142202506,11142426058,11142249674"
11141923978,a-reason-for-spelling-teachers-guidebook-and-student-workbook-kit-level-f,206,Old data from V-Cart System: Web Special $31.87 Clearance $31.87 Old Promo Pages: Notes from V-Cart system: ,,39.47,"11142274634,11142202954,11142567882"
11142686602,wood-pieces-set-for-capital-letters-handwriting-without-tears,212,"ISBN13: 9780012104583 
										ISBN: 0012104582 
									UPC: 000772004930  Cheapest from STL. 45% discount. ",,23.97,"11142402122,11142406922"
11141927178,abraham-lincoln-coloring-book,218,Old data from V-Cart System: Web Special $3.25 Clearance $3.25 Old Promo Pages: Notes from V-Cart system: ,,3.25,11142568010
11141937674,alpha-omega-lifepac-accounting,221,Old data from V-Cart System: Web Special $43.96 Clearance $43.96 Old Promo Pages: Notes from V-Cart system: ,,62.96,"11142463242,11141974602,11141936970"
11141927434,across-five-aprils,222,Old data from V-Cart System: Web Special $4.25 Clearance $4.25 Old Promo Pages: Notes from V-Cart system: ,,4.25,"11142375050,11142375626,11141918986"
11141928842,adam-and-his-kin,223,Old data from V-Cart System: Web Special $8.5 Clearance $8.5 Old Promo Pages: Notes from V-Cart system: ,Ruth Beechick,8.5,"11142376714,11142376330,11142540234"
11141929034,adam-of-the-road,224,,,7.97,"11142145098,11142146570,11142585034"
11142494602,saxon-advanced-math-2nd-edition-solutions-manual,227,,,46.76,"11142495114,11142166154,11141961738"
11141997706,apologia-exploring-creation-with-advanced-physics-in-creation-set,228,Old data from V-Cart System: Web Special $54.47 Clearance $62.94 Old Promo Pages: Notes from V-Cart system: ,,77,"11142011466,11142005962,11142094090"
11141931466,adventures-of-huckleberry-finn-dover,229,,Mark Twain,6,"11141931722,11141931786,11142635722"
11141931786,adventures-of-tom-sawyer,230,Old data from V-Cart System: Web Special $2 Clearance $2 Old Promo Pages: Notes from V-Cart system: ,Mark Twain,4.5,"11141931466,11141931722,11142680586"
11141932106,aesops-fables,231,Old data from V-Cart System: Web Special $1.5 Clearance $1.5 Old Promo Pages: Notes from V-Cart system: ,,2,"11141993482,11142319114,11142372298"
11141933322,album-of-horses,233,Old data from V-Cart System: Web Special $10.97 Clearance $10.97 Old Promo Pages: Notes from V-Cart system: ,,13.47,"11142181578,11142249034,11142589898"
11142505418,saxon-math-algebra-1-2-3rd-edition-solutions-manual,235,Old data from V-Cart System: Web Special $24 Clearance $24 Old Promo Pages: Notes from V-Cart system: ,,44.15,"11142505802,11142166026,11142495690"
11142506186,saxon-math-algebra-2-3rd-edition-solutions-manual,237,Old data from V-Cart System: Web Special $24 Clearance $24 Old Promo Pages: Notes from V-Cart system: ,,49.1,"11142470346,11141964298"
11141935434,all-american-history-set-volume-1,240,"Old data from V-Cart System: Web Special $60.97 Clearance $60.97 Old Promo Pages: Notes from V-Cart system: ----  
Reg price $60.97 Web Special July 08   
",,63.97,"11141935690,11141935882,11141935562"
11141935562,all-american-history-volume-1-student-activity-book,241,Old data from V-Cart System: Web Special $12.95 Clearance $12.95 Old Promo Pages: Notes from V-Cart system: ,,13.84,"11141935690,11141935882,11141935434"
11141935690,all-american-history-volume-1-student-reader,242,Old data from V-Cart System: Web Special $34.97 Clearance $34.97 Old Promo Pages: Notes from V-Cart system:  6/16/11 - R.O.C.K.in' Deal for $30 + free shipping. - Christina Sold: 0 ,,35.97,"11141935882,11141935562,11141935434"
11141935882,all-american-history-volume-1-teachers-guide-and-answer-key,243,Old data from V-Cart System: Web Special $13.97 Clearance $13.97 Old Promo Pages: Notes from V-Cart system: ,,15.97,"11141935690,11141935562,11141935434"
11141940810,alpha-omega-lifepac-10th-grade-science-biology-experiments-dvd,246,Old data from V-Cart System: Web Special $17.56 Clearance $17.56 Old Promo Pages: Notes from V-Cart system: ,,14.36,"11141940490,11142367242,11141968906"
11141950218,alpha-omega-lifepac-4th-grade-science-experiments-dvd,248,Old data from V-Cart System: Web Special $17.56 Clearance $17.56 Old Promo Pages: Notes from V-Cart system: ,,14.36,"11141950026,11141971146,11142201738"
11141951690,alpha-omega-lifepac-5th-grade-science-experiments-dvd,250,Old data from V-Cart System: Web Special $17.56 Clearance $17.56 Old Promo Pages: Notes from V-Cart system: ,,14.36,"11141951434,11141972106,11142200266"
11141952970,alpha-omega-lifepac-6th-grade-science-experiments-dvd,251,Old data from V-Cart System: Web Special $17.56 Clearance $17.56 Old Promo Pages: Notes from V-Cart system: ,,14.36,"11141952714,11141980042,11142245130"
